Provincia,Latitud,Longitud,3/3/2020,4/3/2020,5/3/2020,6/3/2020,7/3/2020,8/3/2020,9/3/2020,10/3/2020,11/3/2020,12/3/2020,13/3/2020,14/3/2020,15/3/2020,16/3/2020,17/3/2020,18/3/2020,19/3/2020,20/3/2020,21/3/2020,22/3/2020,23/3/2020,24/3/2020,25/3/2020,26/3/2020,27/3/2020,28/3/2020,29/3/2020,30/3/2020,31/3/2020,1/4/2020,2/4/2020,3/4/2020,4/4/2020,5/4/2020,6/4/2020,7/4/2020,8/4/2020,9/4/2020,10/4/2020,11/4/2020
Buenos Aires ,-363.789.925,-603.855.889,0,0,0,1,0,2,0,1,1,4,1,,1,1,2,6,15,9,15,8,5,30,30,27,36,8,16,36,17,10,36,22,26,33,12,34,17,28,19,37
Ciudad de Buenos Aires ,346.075.682,-584.370.894,1,0,1,4,0,2,1,1,1,3,2,,6,5,4,10,8,9,29,12,11,30,21,30,43,18,13,34,19,10,24,28,34,32,17,24,18,23,11,46
Catamarca ,-271.910.825,-67.105.374,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaco ,-263.829.647,-608.816.092,0,0,0,0,0,0,2,0,0,2,0,,2,3,1,1,2,1,5,7,4,9,12,3,3,5,4,12,3,12,3,8,8,0,4,4,15,6,5,0
Chubut ,-437.128.356,-687.461.817,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Córdoba ,-31.221.467,-640.207.336,0,0,0,1,0,0,0,0,0,1,0,,0,0,2,1,3,5,4,8,3,7,15,3,5,0,18,8,14,6,16,14,3,5,7,4,1,5,13,32
Corrientes ,-289.777.522,-577.863.834,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,2,0,0,0,0,0,2,4,1,10,1,1,1,0,0,0,2,0,0,0,0,0
Entre Ríos ,-316.252.842,-593.539.578,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,1,0,0,0,0,3,0,3,0,0,3,0,1,2,2,0,1,0,1,0,2,0,0
Formosa ,-246.611.626,-600.743.318,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jujuy ,-233.161.458,-657.595.288,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
La Pampa ,-372.314.643,-653.972.948,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0
La Rioja ,-298.444.143,-66.622.857,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,2,2,1,0,0,5,0,4
Mendoza ,-347.871.961,-684.380.712,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,0,0,1,1,1,1,1,3,2,10,0,2,0,2,1,2,6,2,9,5
Misiones ,-26.737.224,-544.315.257,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Neuquén ,-383.695.057,-69.832.275,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,2,0,0,0,1,1,3,4,2,0,8,0,4,4,1,4,11,6,3,17,7,7,1
Río Negro ,-404.811.973,-676.145.911,0,0,0,0,0,0,1,0,0,0,0,,0,0,1,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,0,1,5,2,2,2,1,13,7,23
Salta ,-251.076.701,-643.494.964,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,0
San Juan ,-304.951.405,-687.639.307,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
San Luis ,-33.921.163,-662.450.736,0,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0
Santa Cruz ,-491.688.399,-698.773.387,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,1,5,2,0,0,0,0,0,10,2,0,1,1,0,8,0,0,6,3
Santa Fe ,-303.154.739,-611.645.076,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,2,0,13,3,22,12,9,13,13,21,22,11,8,8,5,11,8,3,2,7,1,3
Santiago del Estero,-276.431.016,-635.408.542,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,6,-1,0,0,0,3
Tierra del Fuego ,-537.555.095,-689.333.264,0,0,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,1,3,0,0,4,1,3,0,4,4,11,7,0,24,1,8,3,2,2,2,0,2,8
Tucumán ,-265.643.582,-64.882.397,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,1,5,0,0,2,0,6,0,0,0,1,1,4,0,1,0,5,1,0,1,0,1