fecha,total nuevos,totales confirmados,muertes
3/3/2020,1,1,0
4/3/2020,0,1,0
5/3/2020,1,2,0
6/3/2020,6,8,0
7/3/2020,1,8,1
8/3/2020,3,11,1
9/3/2020,6,17,1
10/3/2020,2,19,1
11/3/2020,2,21,1
12/3/2020,10,31,1
13/3/2020,3,34,2
14/3/2020,11,45,2
15/3/2020,,,
16/3/2020,20,65,2
17/3/2020,14,79,2
18/3/2020,18,97,3
19/3/2020,31,128,3
20/3/2020,30,158,3
21/3/2020,90,248,4
22/3/2020,18,266,4
23/3/2020,35,301,4
24/3/2020,86,387,6
25/3/2020,115,502,8
26/3/2020,87,589,12
27/3/2020,101,690,17
28/3/2020,55,745,19
29/3/2020,75,820,20
30/3/2020,146,966,24
31/3/2020,88,1.054,27
1/4/2020,79,1.133,32
2/4/2020,132,1.265,36
3/4/2020,88,1.353,42
4/4/2020,98,1.451,43
5/4/2020,103,1.554,46
6/4/2020,74,1.628,54
7/4/2020,87,1.715,60
8/4/2020,80,1.795,65
9/4/2020,99,1.894,79
10/4/2020,81,1.975,82
11/4/2020,167,2.142,89